srcDistrictName,srcStateName,srcYear,Country,StateCode,StateName,DistrictCode,DistrictName,TotalPopulation,TotalPopulationUrban,TotalPopulationRural,TotalPopulationMale,TotalPopulationMaleUrban,TotalPopulationMaleRural,TotalPopulationFemale,TotalPopulationFemaleUrban,TotalPopulationFemaleRural,NumberOfHouseholds,NumberOfHouseholdsUrban,NumberOfHouseholdsRural,LandAreaUrban,LandAreaRural,LandArea,LandAreaMappingError%,LandAreaUrbanMappingError%,LandAreaRuralMappingError%,TotalPopulationMappingError%,TotalPopulationUrbanMappingError%,TotalPopulationRuralMappingError%,TotalPopulationMaleMappingError%,TotalPopulationMaleUrbanMappingError%,TotalPopulationMaleRuralMappingError%,TotalPopulationFeMaleMappingError%,TotalPopulationFeMaleUrbanMappingError%,TotalPopulationFeMaleRuralMappingError%,NumberOfHouseholdsMappingError%,NumberOfHouseholdsUrbanMappingError%,NumberOfHouseholdsRuralMappingError%,NumberOfChildren,NumberOfParents,WeighingRatio_TotalPopulation,WeighingRatio_Percentage_TotalPopulation,WeighingRatio_TotalPopulationUrban,WeighingRatio_Percentage_TotalPopulationUrban,WeighingRatio_TotalPopulationRural,WeighingRatio_Percentage_TotalPopulationRural,WeighingRatio_TotalPopulationMale,WeighingRatio_Percentage_TotalPopulationMale,WeighingRatio_TotalPopulationMaleUrban,WeighingRatio_Percentage_TotalPopulationMaleUrban,WeighingRatio_TotalPopulationMaleRural,WeighingRatio_Percentage_TotalPopulationMaleRural,WeighingRatio_TotalPopulationFemale,WeighingRatio_Percentage_TotalPopulationFemale,WeighingRatio_TotalPopulationFemaleUrban,WeighingRatio_Percentage_TotalPopulationFemaleUrban,WeighingRatio_TotalPopulationFemaleRural,WeighingRatio_Percentage_TotalPopulationFemaleRural,WeighingRatio_NumberOfHouseholds,WeighingRatio_Percentage_NumberOfHouseholds,WeighingRatio_NumberOfHouseholdsUrban,WeighingRatio_Percentage_NumberOfHouseholdsUrban,WeighingRatio_NumberOfHouseholdsRural,WeighingRatio_Percentage_NumberOfHouseholdsRural,WeighingRatio_LandAreaUrban,WeighingRatio_Percentage_LandAreaUrban,WeighingRatio_LandAreaRural,WeighingRatio_Percentage_LandAreaRural,WeighingRatio_LandArea,WeighingRatio_Percentage_LandArea,YearCode,Year
Theni,Tamil Nadu,2021,India,33,TAMIL NADU,573,ERODE,13204,13204,0,6718,6718,0,6486,6486,0,3391,3391,0,513.0,0.0,513.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0.0105979698193834,0.0058941165967324,0.0196933246430547,0.0113678334393722,0.0,0.0,0.0107370665336919,0.005975608345927,0.0200655310734969,0.0115950934010835,0.0,0.0,0.0104576470132985,0.0058120206494301,0.0193220884299834,0.0111416497749682,0.0,0.0,0.0100292210865038,0.0051829547886161,0.0186942164251101,0.0101214212373743,0.0,0.0,0.0172547172984427,0.0069005407441284,0.0,0.0,0.0020123665662506,0.0009007206753034,2021,"Calendar Year (Jan - Dec), 2021"
Kanchipuram,Tamil Nadu,2021,India,33,TAMIL NADU,574,KANCHIPURAM,1162014,595653,566361,584417,299126,285291,577597,296527,281070,288479,148795,139684,18566.9,146051.0,164617.9,0,0,0,0.8700802250583504,0.0,2.382876823050093,0.8823333621466518,0.0,2.416531628794836,0.8576563471203761,0.0,2.348755822919785,0.7409726259509364,0.0,2.0632878114925353,3,1,0.293181419081894,1.0,0.234662786959646,1.0,0.3974106185549648,1.0,0.2929119279950801,1.0,0.2340617490584743,1.0,0.397774456301989,1.0,0.2934545973691577,1.0,0.2352722284241687,1.0,0.3970419968640081,1.0,0.288828771642459,1.0,0.2307328495223917,1.0,0.394689030230935,1.0,0.282638644691154,1.0,0.385362731442497,1.0,0.370187851944418,1.0,2021,"Calendar Year (Jan - Dec), 2021"
Kanyakumari,Tamil Nadu,2021,India,33,TAMIL NADU,575,KANNIYAKUMARI,1870374,1539802,330572,926345,761407,164938,944029,778395,165634,483539,398061,85478,66284.0,101968.0,168252.0078125,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2021,"Calendar Year (Jan - Dec), 2021"
Karur,Tamil Nadu,2021,India,33,TAMIL NADU,576,KARUR,1064493,434517,629976,528184,215556,312628,536309,218961,317348,287095,118699,168396,28350.0,257805.0,286154.703125,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2021,"Calendar Year (Jan - Dec), 2021"
Krishnagiri,Tamil Nadu,2021,India,33,TAMIL NADU,577,KRISHNAGIRI,1879809,428363,1451446,960232,217788,742444,919577,210575,709002,448053,105194,342859,16327.0,500778.0,517105.34375,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2021,"Calendar Year (Jan - Dec), 2021"
Madurai,Tamil Nadu,2021,India,33,TAMIL NADU,578,MADURAI,3038252,1846801,1191451,1526475,925228,601247,1511777,921573,590204,794887,479851,315036,31745.0,360594.0,392339.25,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2021,"Calendar Year (Jan - Dec), 2021"
Nagapattinam,Tamil Nadu,2021,India,33,TAMIL NADU,579,NAGAPATTINAM,698094,188056,510038,345476,92162,253314,352618,95894,256724,183344,45960,137384,11990.0,110873.0,122863.15625,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0.4318686009465186,1.0,0.5157532142700425,1.0,0.4074352186326214,1.0,0.4328584297987663,1.0,0.5155685339956813,1.0,0.4089872111778277,1.0,0.4309032008143483,1.0,0.515930831889641,1.0,0.4059153428612538,1.0,0.4430343347743193,1.0,0.5079182645020831,1.0,0.4248770681923612,1.0,0.638581167447806,1.0,0.497383262116015,1.0,0.50835245280106,1.0,2021,"Calendar Year (Jan - Dec), 2021"
Namakkal,Tamil Nadu,2021,India,33,TAMIL NADU,580,NAMAKKAL,1726601,696125,1030476,869280,348596,520684,857321,347529,509792,475511,192263,283248,30057.5,310516.0,340573.09375,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2021,"Calendar Year (Jan - Dec), 2021"
Perambalur,Tamil Nadu,2021,India,33,TAMIL NADU,581,PERAMBALUR,565223,97163,468060,282157,48231,233926,283066,48932,234134,149243,25298,123945,8367.0,167851.0,176217.75,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2021,"Calendar Year (Jan - Dec), 2021"
Pudukkottai,Tamil Nadu,2021,India,33,TAMIL NADU,582,PUDUKKOTTAI,1618345,316354,1301991,803188,157683,645505,815157,158671,656486,387679,77394,310285,16893.0,451142.0,468035.09375,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2021,"Calendar Year (Jan - Dec), 2021"
